name,nonempty,empty
Patricia_Harless, 6 , 0
Paul_Bettencourt, 10 , 0
Paul_Green, 88 , 0
Paul_Workman, 7 , 0
Pete_Olson, 14 , 0
Pete_Sessions, 73 , 0
Phil_Johnson, 27 , 0
Phil_King, 57 , 0
Phil_Stephenson, 4 , 0
Poncho_Nevarez, 7 , 0
R.D._Bobby_Guerra, 0 , 0
Rafael_Anchia, 41 , 0
Ramon_Romero, 5 , 0
Randy_Neugebauer, 11 , 0
Randy_Weber, 8 , 0
Rene_Oliveira, 19 , 0
Richard_Raymond, 26 , 0
Rick_Galindo, 2 , 0
Rick_Miller, 74 , 0
Robert_Nichols, 19 , 0
Roberto_Alonzo, 10 , 0
Rodney_Anderson, 8 , 0
Rodney_Ellis, 79 , 0
Roger_Williams, 13 , 0
Roland_Gutierrez, 5 , 0
Ron_Reynolds, 10 , 0
Ron_Simmons, 8 , 0
Royce_West, 61 , 0
Ruben_Hinojosa, 8 , 0
Ruth_Jones_McClendon, 11 , 0
Ryan_Guillen, 11 , 0
Ryan_Sitton, 6 , 0
Sam_Johnson, 57 , 0
Sarah_Davis, 32 , 0
Scott_Sanford, 10 , 0
Scott_Turner, 26 , 0
Senfronia_Thompson, 36 , 0
Sergio_Munoz, 3 , 0
Sergio_Muñoz_Jr., 3 , 0
Sharon_Keller, 13 , 0
Sheila_Jackson_Lee, 25 , 0
Sid_Miller, 52 , 0
Stephanie_Klick, 2 , 0
Stuart_Spitzer, 4 , 0
Susan_King, 22 , 0
Sylvester_Turner, 59 , 0
Sylvia_Garcia, 45 , 0
Tan_Parker, 10 , 0
Ted_Cruz, 74 , 0
Ted_Poe, 15 , 0
Terry_Canales, 6 , 0
Todd_Hunter, 16 , 0
Tom_Craddick, 93 , 0
Toni_Rose, 1 , 0
Tony_Dale, 9 , 0
Tony_Tinderholt, 15 , 0
Tracy_King, 8 , 0
Travis_Clardy, 4 , 0
Trent_Ashby, 3 , 0
Trey_Martinez_Fischer, 32 , 0
Troy_Fraser, 43 , 0
Van_Taylor, 25 , 0
Wayne_Faircloth, 4 , 0
Wayne_Smith, 44 , 0
Will_Hurd, 7 , 0
Will_Metcalf, 3 , 0
William_Zedler, 26 , 0
Yvonne_Davis, 15 , 0
