name,nonempty,empty
Paul_Bettencourt, 24 , 0
Paul_Green, 11 , 0
Paul_Workman, 16 , 0
Pete_Olson, 30 , 0
Pete_Sessions, 99 , 0
Phil_Johnson, 21 , 0
Phil_King, 50 , 0
Phil_Stephenson, 5 , 0
Poncho_Nevarez, 16 , 0
R.D._Bobby_Guerra, 0 , 0
Rafael_Anchia, 100 , 0
Ramon_Romero, 9 , 0
Randy_Neugebauer, 29 , 0
Randy_Weber, 30 , 0
Rene_Oliveira, 11 , 0
Richard_Raymond, 31 , 0
Rick_Galindo, 1 , 0
Rick_Miller, 11 , 0
Robert_Nichols, 46 , 0
Roberto_Alonzo, 43 , 0
Rodney_Anderson, 91 , 0
Rodney_Ellis, 100 , 0
Roger_Williams, 69 , 0
Roland_Gutierrez, 13 , 0
Ron_Reynolds, 10 , 0
Ron_Simmons, 43 , 0
Royce_West, 98 , 0
Ruben_Hinojosa, 13 , 0
Ruth_Jones_McClendon, 13 , 0
Ryan_Guillen, 13 , 0
Ryan_Sitton, 32 , 0
Sam_Johnson, 100 , 0
Sarah_Davis, 30 , 0
Scott_Sanford, 36 , 0
Scott_Turner, 52 , 0
Senfronia_Thompson, 43 , 0
Sergio_Munoz, 6 , 0
Sergio_Muñoz_Jr., 2 , 0
Sharon_Keller, 25 , 0
Sheila_Jackson_Lee, 76 , 0
Sid_Miller, 67 , 0
Stephanie_Klick, 16 , 0
Stuart_Spitzer, 5 , 0
Susan_King, 18 , 0
Sylvester_Turner, 66 , 0
Sylvia_Garcia, 31 , 0
Tan_Parker, 26 , 0
Ted_Cruz, 95 , 0
Ted_Poe, 37 , 0
Terry_Canales, 12 , 0
Todd_Hunter, 17 , 0
Tom_Craddick, 89 , 0
Toni_Rose, 23 , 0
Tony_Dale, 13 , 0
Tony_Tinderholt, 26 , 0
Tracy_King, 7 , 0
Travis_Clardy, 13 , 0
Trent_Ashby, 12 , 0
Trey_Martinez_Fischer, 57 , 0
Troy_Fraser, 71 , 0
Van_Taylor, 80 , 0
Wayne_Faircloth, 2 , 0
Wayne_Smith, 23 , 0
Will_Hurd, 39 , 0
Will_Metcalf, 3 , 0
William_Zedler, 1 , 0
Yvonne_Davis, 32 , 0
