name,nonempty,empty 
Roberto_Alonzo, 14 , 1
Rodney_Anderson, 21 , 4
Rodney_Ellis, 239 , 53
Roger_Williams, 120 , 51
Roland_Gutierrez, 13 , 0
Ron_Reynolds, 7 , 4
Ron_Simmons, 13 , 0
Royce_West, 137 , 60
Ruben_Hinojosa, 5 , 19
Ruth_Jones_McClendon, 27 , 1
Ryan_Guillen, 15 , 4
Ryan_Sitton, 23 , 1
Sam_Johnson, 15 , 22
Sarah_Davis, 30 , 9
Scott_Sanford, 8 , 1
Scott_Turner, 28 , 33
Senfronia_Thompson, 82 , 32
Sergio_Munoz, 1 , 6
Sergio_Muñoz_Jr., 3 , 0
Sharon_Keller, 83 , 21
Sheila_Jackson_Lee, 32 , 44
Sid_Miller, 73 , 24
Stephanie_Klick, 6 , 8
Stuart_Spitzer, 4 , 0
Susan_King, 13 , 4
Sylvester_Turner, 130 , 23
Sylvia_Garcia, 36 , 16
Tan_Parker, 21 , 2
Ted_Cruz, 0 , 0
Ted_Poe, 25 , 38
Terry_Canales, 17 , 4
Todd_Hunter, 49 , 4
Tom_Craddick, 202 , 24
Toni_Rose, 5 , 1
Tony_Dale, 95 , 42
Tony_Tinderholt, 13 , 8
Tracy_King, 21 , 5
Travis_Clardy, 11 , 0
Trent_Ashby, 12 , 0
Trey_Martinez_Fischer, 152 , 40
Troy_Fraser, 229 , 50
Van_Taylor, 57 , 5
Wayne_Smith, 40 , 7
Will_Hurd, 153 , 199
Will_Metcalf, 120 , 222
William_Zedler, 1 , 0
Yvonne_Davis, 18 , 2
