name,nonempty,empty
Pete_Olson, 825 , 0
Pete_Sessions, 537 , 0
Phil_Johnson, 518 , 0
Phil_King, 916 , 0
Phil_Stephenson, 511 , 0
Poncho_Nevarez, 72 , 0
R.D._Bobby_Guerra, 0 , 0
R.D._'Bobby'_Guerra, 0 , 0
Rafael_Anchia, 951 , 0
Ramon_Romero, 857 , 0
Randy_Neugebauer, 644 , 0
Randy_Weber, 671 , 0
Rene_Oliveira, 238 , 0
Richard_Pena_Raymond, 70 , 0
Richard_Raymond, 538 , 0
Rick_Galindo, 70 , 0
Rick_Miller, 220 , 0
Robert_Nichols, 960 , 0
Roberto_Alonzo, 282 , 0
Rodney_Anderson, 644 , 0
Rodney_Ellis, 957 , 0
Roger_Williams, 851 , 0
Roland_Gutierrez, 190 , 0
Ron_Reynolds, 802 , 0
Ron_Simmons, 667 , 0
Royce_West, 489 , 0
Ruben_Hinojosa, 490 , 0
Ruth_Jones_McClendon, 582 , 0
Ryan_Guillen, 123 , 0
Ryan_Sitton, 853 , 0
Sam_Johnson, 792 , 0
Sarah_Davis, 772 , 0
Scott_Sanford, 72 , 0
Scott_Turner, 620 , 0
Senfronia_Thompson, 995 , 0
Sergio_Munoz, 18 , 0
Sergio_Muñoz_Jr., 10 , 0
Sharon_Keller, 541 , 0
Sheila_Jackson_Lee, 823 , 0
Sid_Miller, 586 , 0
Stephanie_Klick, 12 , 0
Stuart_Spitzer, 7 , 0
Susan_King, 456 , 0
Sylvester_Turner, 955 , 0
Sylvia_Garcia, 981 , 0
Tan_Parker, 709 , 0
Ted_Cruz, 871 , 0
Ted_Poe, 909 , 0
Terry_Canales, 709 , 0
Todd_Hunter, 553 , 0
Tom_Craddick, 985 , 0
Toni_Rose, 6 , 0
Tony_Dale, 315 , 0
Tony_Tinderholt, 120 , 0
Tracy_King, 86 , 0
Travis_Clardy, 15 , 0
Trent_Ashby, 267 , 0
Trey_Martinez_Fischer, 692 , 0
Troy_Fraser, 747 , 0
Van_Taylor, 580 , 0
Wayne_Faircloth, 464 , 0
Wayne_Smith, 466 , 0
Will_Hurd, 348 , 0
Will_Metcalf, 12 , 0
William_Zedler, 1 , 0
Yvonne_Davis, 474 , 0
